챕터,한자,음,음독,훈독
1,介, 개,かい,すけ
1,偏, 편,へん,かたよる·ひとえに
1,侵, 침,しん,おかす
1,催, 최,さい,もよおす
1,促, 촉,そく,うながす
1,債, 채,さい,かり
1,俊, 준,しゅん,すぐれる
1,佐, 좌,さ,たすける
1,偵, 정,てい,うかがう
1,儀, 의,ぎ,のり
1,依, 의,い·え,よる
1,儒, 유,じゅ,훈독없음
1,偉, 위,い,えらい
1,偶, 우,ぐう,たまたま
1,仰, 앙,ぎょう·こう,あおぐ·おおせ
1,伸, 신,しん,のびる·のばす
1,侍, 시,じ·し,さむらい·さぶらう·はべる
1,僧, 승,そう·ぞう,훈독없음
1,俗, 속,ぞく,훈독없음
1,仙, 선,せん,훈독없음
2,償, 상,しょう,つぐなう
2,伺, 사,し,うかがう
2,珠, 주,しゅ,たま
2,琴, 금,きん,こと
2,瓶, 병,びん·へい,かめ
2,殿, 전,でん·てん,との·どの
2,殻, 각,かく,から
2,殴, 구,おう,なぐる
2,掌, 장,しょう,てのひら·たなごころ·つかさどる
2,摩, 마,ま,する·こする
2,珍, 진,ちん,めずらしい
2,脱, 탈,だつ,ぬぐ·ぬげる
2,胆, 담,たん,きも
2,宜, 의,ぎ,よろしい·むべ
2,宴, 연,えん,うたげ
2,審, 심,しん,つまびらか
2,宵, 소,しょう,よい
2,寮, 료,りょう,훈독없음
2,寧, 녕,ねい,むしろ
2,寡, 과,か,すくない
3,慮, 려,りょ,おもんぱかる
3,怒, 노,ど·ぬ,いかる·おこる
3,忌, 기,き,いむ·いまわしい
3,恐, 공,きょう,おそれる·おそろしい
3,恭, 공,きょう,うやうやしい
3,慶, 경,けい,よろこぶ
3,憩, 게,けい,いこう·いこい
3,懇, 간,こん,ねんごろ
3,恋, 련,れん,こう·こい·こいしい
3,恵, 혜,けい·え,めぐむ
3,環, 환,かん,わ
3,昇, 승,しょう,のぼる
3,旬, 순,じゅん·しゅん,훈독없음
3,普, 보,ふ,あまねく·あまねし
3,曇, 담,どん,くもる
3,昆, 곤,こん,훈독없음
3,暇, 가,か,ひま
3,替, 체,たい,かえる·かわる
3,曹, 조,そう·ぞう,훈독없음
3,更, 경,こう,さら·ふける·ふかす
4,猫, 묘,びょう,ねこ
4,猛, 맹,もう,たけし
4,狂, 광,きょう,くるう·くるおしい
4,狭, 협,きょう,せまい·せばめる·せばまる
4,猟, 렵,りょう,かり
4,婿, 서,せい,むこ
4,嬢, 양,じょう,むすめ
4,姫, 희,き,ひめ
4,寂, 적,じゃく·せき,さび·さびしい·さびれる
4,宰, 재,さい,つかさ·つかさどる
4,啓, 계,けい,ひらく
4,喝, 갈,かつ,훈독없음
4,嘱, 촉,しょく,훈독없음
4,呉, 오,ご,くれ
4,圏, 권,けん,훈독없음
4,舗, 포,ほ,しく
4,幅, 폭,ふく,はば
4,幣, 폐,へい,ぬさ·しで·みてぐら
4,凶, 흉,きょう,훈독없음
4,撃, 격,げき,うつ
5,禅, 선,ぜん,훈독없음
5,旨, 지,し,むね·うまい
5,晶, 정,しょう,훈독없음
5,暫, 잠,ざん,しばらく
5,升, 승,しょう,ます
5,卑, 비,ひ·び,いやしい·いやしむ·いやしめる
5,侯, 후,こう,훈독없음
5,召, 소,しょう,めす
5,喪, 상,そう,も
5,唆, 사,さ,そそのかす
5,嗣, 사,し,つぐ
5,噴, 분,ふん,ふく·はく
5,吏, 리,り,훈독없음
5,唐, 당,とう,から
5,喫, 끽,きつ,훈독없음
5,吉, 길,きち·きつ,よし
5,叫, 규,きょう,さけぶ
5,邪, 사,じゃ,よこしま
5,邦, 방,ほう,くに
5,郊, 교,こう,훈독없음
6,郭, 곽,かく,くるわ
6,荘, 장,そう·しょう,おごそか
6,薫, 훈,くん,かおる
6,茎, 경,けい,くき
6,尚, 상,しょう,なお·たつとぶ
6,又, 우,ゆう,また
6,叔, 숙,しゅく,훈독없음
6,及, 급,きゅう,およぶ·および·およぼす
6,叙, 서,じょ,のべる
6,双, 쌍,そう,ふた
6,廷, 정,てい,훈독없음
6,享, 향,きょう,훈독없음
6,亭, 정,てい·ちん,훈독없음
6,卓, 탁,たく,すぐれる
6,傾, 경,けい,かたむく·かたむける
6,俸, 봉,ほう·ぼう,훈독없음
6,僕, 복,ぼく,しもべ
6,巧, 교,こう,たくみ
6,巨, 거,きょ·こ,훈독없음
6,陣, 진,じん,훈독없음
7,陳, 진,ちん,のべる
7,阻, 조,そ,はばむ
7,陰, 음,いん·おん,かげ·かげる
7,隅, 우,ぐう,すみ
7,附, 부,ふ,つく·つける
7,陪, 배,ばい,훈독없음
7,隣, 린,りん,となり·となる
7,陵, 릉,りょう,みささぎ
7,隆, 륭,りゅう,훈독없음
7,陶, 도,とう,すえ
7,隔, 격,かく,へだてる·へだたる
7,隠, 은,いん·おん,かくす·かくれる
7,陥, 함,かん,おちいる·おとしいれる
7,邸, 저,てい,やしき
7,伏, 복,ふく·ぶく,ふせる·ふす
7,伐, 벌,ばつ,きる·うつ
7,伯, 백,はく,훈독없음
7,倣, 방,ほう,ならう
7,傍, 방,ぼう,かたわら·そば
7,伴, 반,はん·ばん,ともなう
8,侮, 모,ぶ,あなどる
8,倫, 륜,りん,훈독없음
8,僚, 료,りょう,とも·つかさ
8,倒, 도,とう,たおれる·たおす
8,但, 단,たん,ただし
8,佳, 가,か,훈독없음
8,偽, 위,ぎ,いつわる·にせ
8,倹, 검,けん,つましい
8,傑, 걸,けつ,すぐれる
8,併, 병,へい,あわせる·ならぶ·しかし
8,傘, 산,さん,かさ
8,企, 기,き,くわだてる
8,顧, 고,こ,かえりみる
8,顕, 현,けん,あきらか·あらわれる
8,頼, 뢰,らい,たのむ·たのもしい·たよる
8,香, 향,こう·きょう,か·かおり·かおる·こうばしい
8,飽, 포,ほう,あきる·あかす
8,餓, 아,が,うえる
8,飾, 식,しょく,かざる
8,飢, 기,き,うえる
9,魂, 혼,こん,たましい
9,魅, 매,み,みいる
9,魔, 마,ま,훈독없음
9,鬼, 귀,き,おに
9,髄, 수,ずい,훈독없음
9,靴, 화,か,くつ
9,艦, 함,かん,훈독없음
9,艇, 정,てい,훈독없음
9,般, 반,はん,훈독없음
9,舶, 박,はく,훈독없음
9,致, 치,ち,いたす
9,翼, 익,よく,つばさ
9,舟, 주,しゅう,ふね·ふな
9,翁, 옹,おう,おきな
9,翻, 번,ほん,ひるがえる·ひるがえす
9,褒, 포,ほう,ほめる
9,衷, 충,ちゅう,훈독없음
9,紳, 신,しん,훈독없음
9,糧, 량,りょう·ろう,かて
9,粋, 수,すい,いき
10,耗, 모,もう·こう,へる·へらす
10,虐, 학,ぎゃく,しいたげる
10,虞, 우,ぐ,おそれ
10,虜, 로,りょ,とりこ
10,虚, 허,きょ·こ,むなしい
10,缶, 부,かん,훈독없음
10,繰, 조,そう,くる
10,紫, 자,し,むらさき
10,維, 유,い,훈독없음
10,緯, 위,い,よこいと
10,緩, 완,かん,ゆるい·ゆるやか·ゆるむ·ゆるめる
10,筒, 통,とう,つつ
10,籍, 적,せき,훈독없음
10,符, 부,ふ,훈독없음
10,簿, 부,ぼ,훈독없음
10,範, 범,はん,のり
10,篤, 독,とく,あつい
10,箇, 개,か·こ,훈독없음
10,辱, 욕,じょく,はずかしめる
10,臭, 취,しゅう,くさい·におい
11,襲, 습,しゅう,おそう
11,衰, 쇠,すい,おとろえる
11,裂, 렬,れつ,さく·さける
11,袋, 대,たい,ふくろ
11,覇, 패,は,훈독없음
11,覆, 복,ふく,おおう·くつがえす·くつがえる
11,衡, 형,こう,はかり·はかる
11,衝, 충,しょう,つく
11,腐, 부,ふ,くさる·くされる·くさらす
11,締, 체,てい,しまる·しめる
11,謹, 근,きん,つつしむ
11,誇, 과,こ,ほこる
11,謙, 겸,けん,へりくだる
11,誉, 예,よ,ほまれ·ほめる
11,謡, 요,よう,うたい·うたう
11,譲, 양,じょう,ゆずる
11,辛, 신,しん,からい·つらい·かのと
11,豪, 호,ごう,훈독없음
11,豚, 돈,とん,ぶた
11,触, 촉,しょく·そく,ふれる·さわる
12,赦, 사,しゃ,ゆるす
12,釈, 석,しゃく,훈독없음
12,賄, 회,わい,まかなう
12,賢, 현,けん,かしこい·まさる·さかしい
12,販, 판,はん,훈독없음
12,贈, 증,ぞう·そう,おくる
12,賊, 적,ぞく,훈독없음
12,賜, 사,し,たまわる·たまう·たまもの
12,賓, 빈,ひん,まろうど
12,賦, 부,ふ,훈독없음
12,賠, 배,ばい,훈독없음
12,購, 구,こう,あがなう
12,貫, 관,かん,つらぬく
12,貢, 공,こう·く,みつぐ
12,譜, 보,ふ,훈독없음
12,謀, 모,ぼう·む,はかる·はかりごと
12,謄, 등,とう,うつす
12,諾, 낙,だく,うべなう
12,諮, 자,し,はかる
12,諭, 유,ゆ,さとす
13,誘, 유,ゆう,さそう
13,詠, 영,えい,よむ
13,謁, 알,えつ,まみえる
13,訟, 송,しょう,훈독없음
13,訴, 소,そ,うったえる
13,誓, 서,せい,ちかう
13,詳, 상,しょう,くわしい
13,詐, 사,さ,いつわる
13,輝, 휘,き,かがやく
13,軒, 헌,けん,のき
13,轄, 할,かつ,훈독없음
13,軸, 축,じく,훈독없음
13,載, 재,さい,のせる·のる
13,軟, 연,なん,やわらか·やわらかい
13,輩, 배,はい,ともがら·やから
13,軌, 궤,き,훈독없음
13,較, 교,かく·こう,くらべる
13,越, 월,えつ·おち,こす·こえる
13,赴, 부,ふ,おもむく
13,酵, 효,こう,훈독없음
14,酷, 혹,こく,むごい
14,醜, 추,しゅう,みにくい
14,酢, 초,さく,す
14,酌, 작,しゃく,くむ
14,酬, 수,しゅう,むくいる
14,酪, 락,らく,훈독없음
14,酔, 취,すい,よう
14,醸, 양,じょう,かもす
14,詰, 힐,きつ,つめる·つまる·つむ
14,該, 해,がい,훈독없음
14,託, 탁,たく,かこつける
