챕터,한자,음,음독,훈독
1,今, 금,こん·きん,いま
1,会, 회,かい·え,あう
1,他, 타,た,ほか
1,値, 치,ち,ね·あたい
1,側, 측,そく,かわ·そば
1,借, 차,しゃく,かりる
1,仲, 중,ちゅう,なか
1,住, 주,じゅう,すむ·すまう
1,停, 정,てい,とまる·とめる
1,低, 저,てい,ひくい·ひくめる·ひくまる
1,作, 작,さく·さ,つくる
1,任, 임,にん,まかせる·まかす
1,仁, 인,じん·に·にん,훈독없음
1,位, 위,い,くらい
1,億, 억,おく·おっ,훈독없음
1,信, 신,しん,まこと
1,修, 수,しゅう·しゅ,おさめる·おさまる
1,像, 상,ぞう·しょう,かたち
1,傷, 상,しょう,きず·いたむ·いためる
1,似, 사,じ,にる·にせる
2,王, 왕,おう,훈독없음
2,班, 반,はん,훈독없음
2,球, 구,きゅう,たま
2,泉, 천,せん,いずみ
2,永, 영,えい,ながい
2,水, 수,すい,みず
2,氷, 빙,ひょう,こおり·ひ
2,殺, 살,さつ·さい·せつ,ころす·そぐ
2,段, 단,だん·たん,훈독없음
2,承, 승,しょう,うけたまわる·うける
2,手, 수,しゅ,て·た
2,朝, 조,ちょう,あさ·あした
2,月, 월,げつ·がつ,つき
2,服, 복,ふく,훈독없음
2,期, 기,き·ご,훈독없음
2,臓, 장,ぞう,훈독없음
2,脳, 뇌,のう,훈독없음
2,宇, 우,う,훈독없음
2,完, 완,かん,まっとうする
2,安, 안,あん,やすい
3,室, 실,しつ,むろ
3,宿, 숙,しゅく,やど·やどる·やどす
3,守, 수,しゅ·す,まもる·もり·まもり·かみ
3,宣, 선,せん,のたまう
3,富, 부,ふ·ふう,とむ·とみ
3,寄, 기,き,よる·よせる
3,宮, 궁,きゅう·ぐう·く,みや
3,官, 관,かん,つかさ
3,客, 객,きゃく·かく,まろうど
3,家, 가,か·け,いえ·や
3,実, 실,じつ,み·みのる
3,念, 념,ねん,おもう
3,急, 급,きゅう,いそぐ
3,感, 감,かん,훈독없음
3,応, 응,おう,こたえる
3,悪, 악,あく·お,わるい·にくむ
3,文, 문,ぶん·もん,ふみ·あや
3,現, 현,げん,あらわれる·あらわす·うつつ
3,時, 시,じ·し,とき
3,昭, 소,しょう,훈독없음
4,星, 성,せい·しょう,ほし
4,昔, 석,せき·しゃく,むかし
4,暑, 서,しょ,あつい
4,晩, 만,ばん,おそい
4,暖, 난,だん,あたたか·あたたかい·あたたまる·あたためる
4,景, 경,けい,けしき
4,最, 최,さい,もっとも
4,書, 서,しょ,かく
4,曲, 곡,きょく,まがる·まげる
4,犯, 범,はん·ぼん,おかす
4,宙, 주,ちゅう,훈독없음
4,独, 독,どく,ひとり
4,夏, 하,か·げ,なつ
4,数, 수,すう·す,かず·かぞえる
4,教, 교,きょう,おしえる·おそわる
4,害, 해,がい,훈독없음
4,寒, 한,かん,さむい
4,宅, 댁,たく,훈독없음
4,察, 찰,さつ,훈독없음
4,宗, 종,しゅう·そう,むね
5,定, 정,てい·じょう,さだめる·さだまる·さだか
5,各, 각,かく,おのおの
5,可, 가,か,よい·べし
5,営, 영,えい,いとなむ
5,囲, 위,い,かこむ·かこう
5,団, 단,だん·とん,훈독없음
5,図, 도,ず·と,はかる
5,号, 호,ごう,さけぶ
5,国, 국,こく,くに
5,希, 희,き·け,まれ·こいねがう
5,布, 포,ふ·ほ,ぬの·きれ·しく
5,挙, 거,きょ,あげる·あがる
5,氏, 씨,し,うじ
5,春, 춘,しゅん,はる
5,晴, 청,せい,はれる·はらす
5,早, 조,そう·さっ,はやい·はやまる·はやめる
5,昨, 작,さく,훈독없음
5,日, 일,にち·じつ,ひ·か
5,映, 영,えい,うつる·うつす·はえる
5,易, 역,えき·い,やさしい
6,暗, 암,あん,くらい·やみ
6,卒, 졸,そつ,にわか·おわ·ついに
6,午, 오,ご,うま·ひる
6,十, 십,じゅう·じつ,とお·と
6,半, 반,はん,なかば
6,博, 박,はく·ばく,ひろい
6,南, 남,なん·な,みなみ
6,入, 입,にゅう·じゅ,いる·いれる·はいる
6,働,음없음,どう,はたらく(日本식 한자)
6,休, 휴,きゅう,やすむ·やすまる·やすめる
6,候, 후,こう,そうろう
6,何, 하,か,なに·なん
6,俵, 표,ひょう,たわら
6,善, 선,ぜん,よい
6,商, 상,しょう,あきなう
6,司, 사,し·す,つかさ·つかさどる
6,史, 사,し,ふみ·ふびと
6,否, 부,ひ,いな
6,同, 동,どう,おなじ
6,台, 태,だい·たい,うてな
7,常, 상,じょう,つね·とこ
7,器, 기,き,うつわ
7,君, 군,くん,きみ
7,口, 구,こう·く,くち
7,句, 구,く,훈독없음
7,古, 고,こ,ふるい·ふるす·いにしえ
7,告, 고,こく,つげる
7,舎, 사,しゃ,훈독없음
7,部, 부,ぶ,べ
7,都, 도,と·つ,みやこ
7,郡, 군,ぐん,こおり
7,郷, 향,きょう·ごう,さと
7,苦, 고,く,くるしい·くるしむ·くるしめる·にがい·にがる
7,蔵, 장,ぞう,くら
7,当, 당,とう,あたる·あてる
7,取, 취,しゅ,とる
7,受, 수,じゅ,うける·うかる
7,反, 반,はん·ほん·たん,そる·そらす
7,収, 수,しゅう,おさめる·おさまる
7,延, 연,えん,のびる·のべる·のばす
8,建, 건,けん·こん,たてる·たつ
8,交, 교,こう,まじわる·まじえる·まじる·まざる·まぜる·かう·かわす
