챕터,한자,음,음독,훈독
1,介, 개,かい,すけ
1,偏, 편,へん,かたよる·ひとえに
1,侵, 침,しん,おかす
1,催, 최,さい,もよおす
1,促, 촉,そく,うながす
1,債, 채,さい,かり
1,俊, 준,しゅん,すぐれる
1,佐, 좌,さ,たすける
1,偵, 정,てい,うかがう
1,儀, 의,ぎ,のり
1,依, 의,い·え,よる
1,儒, 유,じゅ,훈독없음
1,偉, 위,い,えらい
1,偶, 우,ぐう,たまたま
1,傲, 오,ごう,おごる
1,仰, 앙,ぎょう·こう,あおぐ·おおせ
1,伸, 신,しん,のびる·のばす
1,侍, 시,じ·し,さむらい·さぶらう·はべる
1,僧, 승,そう·ぞう,훈독없음
1,俗, 속,ぞく,훈독없음
2,仙, 선,せん,훈독없음
2,償, 상,しょう,つぐなう
2,伺, 사,し,うかがう
2,珠, 주,しゅ,たま
2,玩, 완,がん,もてあそぶ
2,璃, 리,り,훈독없음
2,瑠, 류,る·りゅう,훈독없음
2,琴, 금,きん,こと
2,瓦, 와,が,かわら
2,瓶, 병,びん·へい,かめ
2,殿, 전,でん·てん,との·どの
2,是, 시,ぜ,これ
2,殻, 각,かく,から
2,殴, 구,おう,なぐる
2,毀, 훼,き,こわす
2,掌, 장,しょう,てのひら·たなごころ·つかさどる
2,珍, 진,ちん,めずらしい
2,朕, 짐,ちん,훈독없음
2,脱, 탈,だつ,ぬぐ·ぬげる
2,胆, 담,たん,きも
3,爽, 상,そう,さわやか
3,牙, 아,が·げ,きば
3,宜, 의,ぎ,よろしい·むべ
3,宛, 완,えん,あてる
3,宴, 연,えん,うたげ
3,審, 심,しん,つまびらか
3,宵, 소,しょう,よい
3,寧, 녕,ねい,むしろ
3,寡, 과,か,すくない
3,怒, 노,ど·ぬ,いかる·おこる
3,忌, 기,き,いむ·いまわしい
3,恐, 공,きょう,おそれる·おそろしい
3,恭, 공,きょう,うやうやしい
3,慶, 경,けい,よろこぶ
3,憩, 게,けい,いこう·いこい
3,懇, 간,こん,ねんごろ
3,恵, 혜,けい·え,めぐむ
3,斑, 반,はん,ふ·まだら·ぶち
3,環, 환,かん,わ
3,昇, 승,しょう,のぼる
4,旬, 순,じゅん·しゅん,훈독없음
4,普, 보,ふ,あまねく·あまねし
4,昧, 매,まい,くらい
4,曇, 담,どん,くもる
4,昆, 곤,こん,훈독없음
4,暇, 가,か,ひま
4,替, 체,たい,かえる·かわる
4,曹, 조,そう·ぞう,훈독없음
4,更, 경,こう,さら·ふける·ふかす
4,猫, 묘,びょう,ねこ
4,狂, 광,きょう,くるう·くるおしい
4,狭, 협,きょう,せまい·せばめる·せばまる
4,婿, 서,せい,むこ
4,嬢, 양,じょう,むすめ
4,姫, 희,き,ひめ
4,寂, 적,じゃく·せき,さび·さびしい·さびれる
4,宰, 재,さい,つかさ·つかさどる
4,啓, 계,けい,ひらく
4,喝, 갈,かつ,훈독없음
4,嘱, 촉,しょく,훈독없음
5,呉, 오,ご,くれ
5,圏, 권,けん,훈독없음
5,幅, 폭,ふく,はば
5,幣, 폐,へい,ぬさ·しで·みてぐら
5,凶, 흉,きょう,훈독없음
5,拳, 권,けん·げん,こぶし
5,撃, 격,げき,うつ
5,禅, 선,ぜん,훈독없음
5,旨, 지,し,むね·うまい
5,晶, 정,しょう,훈독없음
5,暫, 잠,ざん,しばらく
5,旺, 왕,おう,훈독없음
5,升, 승,しょう,ます
5,卑, 비,ひ·び,いやしい·いやしむ·いやしめる
5,侯, 후,こう,훈독없음
5,召, 소,しょう,めす
5,喪, 상,そう,も
5,唆, 사,さ,そそのかす
5,嗣, 사,し,つぐ
5,噴, 분,ふん,ふく·はく
6,呂, 려,ろ·りょ,훈독없음
6,唐, 당,とう,から
6,喫, 끽,きつ,훈독없음
6,吉, 길,きち·きつ,よし
6,叫, 규,きょう,さけぶ
6,邪, 사,じゃ,よこしま
6,那, 나,な,いかん·なんぞ
6,郊, 교,こう,훈독없음
6,郭, 곽,かく,くるわ
6,苛, 가,か,いじめる·いらだつ·いらつ·さいなむ
6,荘, 장,そう·しょう,おごそか
6,薫, 훈,くん,かおる
6,茎, 경,けい,くき
6,尚, 상,しょう,なお·たつとぶ
6,蓋, 개,がい,ふた·けだし
6,叔, 숙,しゅく,훈독없음
6,及, 급,きゅう,およぶ·および·およぼす
6,叙, 서,じょ,のべる
6,双, 쌍,そう,ふた
6,廷, 정,てい,훈독없음
7,享, 향,きょう,훈독없음
7,亭, 정,てい·ちん,훈독없음
7,卓, 탁,たく,すぐれる
7,傾, 경,けい,かたむく·かたむける
7,巧, 교,こう,たくみ
7,巨, 거,きょ·こ,훈독없음
7,阪, 판,はん,さか
7,陣, 진,じん,훈독없음
7,陳, 진,ちん,のべる
7,阻, 조,そ,はばむ
7,陰, 음,いん·おん,かげ·かげる
7,隅, 우,ぐう,すみ
7,附, 부,ふ,つく·つける
7,陪, 배,ばい,훈독없음
7,陶, 도,とう,すえ
7,隙, 극,げき,すき·ひま
7,隔, 격,かく,へだてる·へだたる
7,隠, 은,いん·おん,かくす·かくれる
7,陥, 함,かん,おちいる·おとしいれる
7,邸, 저,てい,やしき
8,伏, 복,ふく·ぶく,ふせる·ふす
8,伐, 벌,ばつ,きる·うつ
8,伯, 백,はく,훈독없음
8,伴, 반,はん·ばん,ともなう
8,侮, 모,ぶ,あなどる
8,侶, 려,りょ,とも
8,倒, 도,とう,たおれる·たおす
8,但, 단,たん,ただし
8,伎, 기,ぎ·き,わざ
8,僅, 부,きん,わずか
8,佳, 가,か,훈독없음
8,偽, 위,ぎ,いつわる·にせ
8,倹, 검,けん,つましい
8,傑, 걸,けつ,すぐれる
8,併, 병,へい,あわせる·ならぶ·しかし
8,傘, 산,さん,かさ
8,企, 기,き,くわだてる
8,頓, 돈,とん,にわかに·とみに
8,顧, 고,こ,かえりみる
8,頃, 경,けい,ころ
9,顕, 현,けん,あきらか·あらわれる
9,香, 향,こう·きょう,か·かおり·かおる·こうばしい
9,韓, 한,かん,から
9,餌, 이,じ,え·えさ
9,餓, 아,が,うえる
9,飾, 식,しょく,かざる
9,飢, 기,き,うえる
9,餅, 병,へい,もち
9,魂, 혼,こん,たましい
9,鬼, 귀,き,おに
9,骸, 해,がい,むくろ
9,髄, 수,ずい,훈독없음
9,靴, 화,か,くつ
9,艦, 함,かん,훈독없음
9,艇, 정,てい,훈독없음
9,般, 반,はん,훈독없음
9,舶, 박,はく,훈독없음
9,致, 치,ち,いたす
9,舟, 주,しゅう,ふね·ふな
9,翁, 옹,おう,おきな
10,衷, 충,ちゅう,훈독없음
10,紳, 신,しん,훈독없음
10,粋, 수,すい,いき
10,臼, 구,きゅう,うす
10,虎, 호,こ,とら
10,虐, 학,ぎゃく,しいたげる
10,虞, 우,ぐ,おそれ
10,虚, 허,きょ·こ,むなしい
10,缶, 부,かん,훈독없음
10,繰, 조,そう,くる
10,紫, 자,し,むらさき
10,維, 유,い,훈독없음
10,緯, 위,い,よこいと
10,緩, 완,かん,ゆるい·ゆるやか·ゆるむ·ゆるめる
10,筒, 통,とう,つつ
10,箋, 전,せん,훈독없음
10,籍, 적,せき,훈독없음
10,箸, 저,ちょ,はし
10,符, 부,ふ,훈독없음
10,範, 범,はん,のり
11,籠, 롱,ろう,かご·こめる·こもる
11,篤, 독,とく,あつい
11,箇, 개,か·こ,훈독없음
11,舷, 현,げん,ふなばた
11,辱, 욕,じょく,はずかしめる
11,臭, 취,しゅう,くさい·におい
11,襲, 습,しゅう,おそう
11,衰, 쇠,すい,おとろえる
11,袋, 대,たい,ふくろ
11,羞, 수,しゅう,はじる
11,羨, 선,せん,うらやむ·うらやましい
11,覇, 패,は,훈독없음
11,覆, 복,ふく,おおう·くつがえす·くつがえる
11,衡, 형,こう,はかり·はかる
11,衝, 충,しょう,つく
11,艶, 염,えん,つや
11,腐, 부,ふ,くさる·くされる·くさらす
11,綻, 탄,たん,ほころびる
11,緻, 치,ち,훈독없음
11,締, 체,てい,しまる·しめる
12,謹, 근,きん,つつしむ
12,誇, 과,こ,ほこる
12,謙, 겸,けん,へりくだる
12,譲, 양,じょう,ゆずる
12,辛, 신,しん,からい·つらい·かのと
12,辣, 랄,らつ,훈독없음
12,豪, 호,ごう,훈독없음
12,豚, 돈,とん,ぶた
12,触, 촉,しょく·そく,ふれる·さわる
12,赦, 사,しゃ,ゆるす
12,采, 채,さい,とる
12,釈, 석,しゃく,훈독없음
12,賢, 현,けん,かしこい·まさる·さかしい
12,販, 판,はん,훈독없음
12,貪, 탐,どん·たん·とん,むさぼる
12,貼, 첩,ちょう·てん,はる
12,贈, 증,ぞう·そう,おくる
12,賊, 적,ぞく,훈독없음
12,賜, 사,し,たまわる·たまう·たまもの
12,賓, 빈,ひん,まろうど
13,賦, 부,ふ,훈독없음
13,賠, 배,ばい,훈독없음
13,賭, 도,と,かける
13,購, 구,こう,あがなう
13,貫, 관,かん,つらぬく
13,貢, 공,こう·く,みつぐ
13,訃, 부,ふ,しらせ
13,譜, 보,ふ,훈독없음
13,謄, 등,とう,うつす
13,諾, 낙,だく,うべなう
13,諮, 자,し,はかる
13,詣, 예,けい,もうでる
13,詠, 영,えい,よむ
13,謁, 알,えつ,まみえる
13,誰, 수,すい,だれ
13,訟, 송,しょう,훈독없음
13,訴, 소,そ,うったえる
13,誓, 서,せい,ちかう
13,詳, 상,しょう,くわしい
13,詐, 사,さ,いつわる
14,輝, 휘,き,かがやく
14,軒, 헌,けん,のき
14,轄, 할,かつ,훈독없음
14,軸, 축,じく,훈독없음
14,載, 재,さい,のせる·のる
14,軟, 연,なん,やわらか·やわらかい
14,輩, 배,はい,ともがら·やから
14,軌, 궤,き,훈독없음
14,較, 교,かく·こう,くらべる
14,越, 월,えつ·おち,こす·こえる
14,赴, 부,ふ,おもむく
14,貌, 모,ぼう,かたち·かお
14,酵, 효,こう,훈독없음
14,酷, 혹,こく,むごい
